,bathrooms,floors,waterfront,view,condition,grade,yr_built,lat,long,log_price,is_renovated,log_bedrooms,log_sqft_living,log_sqft_lot,log_sqft_above,log_sqft_basement,log_sqft_living15,log_sqft_lot15
0,1.0,1.0,0,0,3,7,1955,47.5112,-122.257,12.309986615445005,0,1.3862943611198906,7.074116816197362,8.639587799629844,7.074116816197362,0.0,7.201170883281678,8.639587799629844
1,2.25,2.0,0,0,3,7,1951,47.721,-122.319,13.195615697878253,1,1.3862943611198906,7.852050207265889,8.887790764195326,7.682943169878292,5.993961427306569,7.43307534889858,8.941152882160566
2,1.0,1.0,0,0,3,6,1933,47.7379,-122.233,12.100717685412471,0,1.0986122886681098,6.647688373563329,9.210440366976517,6.647688373563329,0.0,7.908754738783246,8.995040974685022
3,3.0,1.0,0,0,5,7,1965,47.5208,-122.393,13.311331132544721,0,1.6094379124341003,7.581209826196346,8.517393171418904,6.957497370876951,6.814542897259958,7.215975002651466,8.517393171418904
4,2.0,1.0,0,0,3,8,1987,47.6168,-122.045,13.1421679654829,0,1.3862943611198906,7.427144133408616,8.997270906233448,7.427144133408616,0.0,7.496097345175956,8.92319149068606
5,4.5,1.0,0,0,3,11,2001,47.6561,-122.005,14.018452218287162,0,1.6094379124341003,8.598035579260339,11.532051392768706,8.266421472984554,7.333676395657684,8.46821300919452,11.532051392768706
6,2.25,2.0,0,0,3,7,1995,47.3097,-122.327,12.458778882573533,0,1.3862943611198906,7.447751280047908,8.827614750837508,7.447751280047908,0.0,7.713784616598755,8.827614750837508
7,1.5,1.0,0,0,3,7,1963,47.4095,-122.315,12.583998677043747,0,1.3862943611198906,6.966967138613983,9.181117513299279,6.966967138613983,0.0,7.409136443920128,9.181117513299279
8,1.0,1.0,0,0,3,7,1960,47.5123,-122.337,12.343662665771719,0,1.3862943611198906,7.484930283289661,8.918784137975802,6.957497370876951,6.594413459749778,7.484930283289661,9.001346243766392
9,2.5,2.0,0,0,3,7,2003,47.3684,-122.031,12.685410698175234,0,1.3862943611198906,7.544861068658458,8.788898309344878,7.544861068658458,0.0,7.779466967458324,8.932080438103307
10,2.5,1.0,0,0,3,8,1965,47.6007,-122.145,13.403777346275337,0,1.3862943611198906,8.177796683277778,9.189831495344642,7.528869256642251,7.438971592395862,7.701200180857446,9.096723645189215
11,1.0,1.0,0,0,4,7,1942,47.69,-122.292,13.056225711649638,0,1.0986122886681098,7.057036981697891,8.699681400989514,6.7580945044277305,5.707110264748875,7.193685818395112,8.699681400989514
12,1.0,1.5,0,0,4,7,1927,47.7558,-122.229,12.644330802262578,0,1.3862943611198906,7.266128779556451,9.898575508175107,7.266128779556451,0.0,7.484930283289661,9.449199779730396
13,1.75,1.0,0,0,4,7,1977,47.6127,-122.045,12.899222326086994,0,1.3862943611198906,7.223295679562314,9.177920480720072,7.223295679562314,0.0,7.223295679562314,9.231024963169016
14,2.0,1.5,0,0,3,7,1900,47.67,-122.394,13.180634172318978,0,1.791759469228055,7.501634457883413,8.486940148245216,7.501634457883413,0.0,7.215975002651466,8.486940148245216
15,3.0,2.0,0,3,3,9,1979,47.5714,-122.375,13.384729180332174,0,1.6094379124341003,7.989899374942939,8.517393171418904,7.591357046698551,6.878326468291325,7.669028288589683,8.294299608857235
16,2.0,2.0,0,0,3,7,1994,47.7277,-121.962,12.886643575525625,0,1.3862943611198906,7.544861068658458,9.549736900114642,7.544861068658458,0.0,7.544861068658458,9.548168831368535
17,1.0,1.5,0,0,4,7,1916,47.6648,-122.343,13.091906231773164,0,1.6094379124341003,7.3783837129967145,8.366602832783736,7.3783837129967145,0.0,7.384610383176974,8.366602832783736
18,1.0,1.0,0,0,4,7,1921,47.3089,-122.21,12.149507585033072,0,1.0986122886681098,7.0909098220799835,9.19532825185568,7.0909098220799835,0.0,6.966967138613983,8.536211197252
19,1.0,1.0,0,0,4,7,1969,47.3343,-122.306,12.345838935721968,0,1.3862943611198906,7.1316985104669115,9.187583384853566,7.1316985104669115,0.0,7.155396301896734,9.088285725968877
20,1.75,1.0,0,0,4,7,1947,47.7025,-122.341,12.861001210669146,0,1.6094379124341003,7.390798521735676,8.513385953073284,6.7580945044277305,6.634633357861686,7.244941546337007,8.513385953073284
21,2.75,1.0,0,4,3,9,1968,47.5316,-122.233,14.508658238524095,0,1.3862943611198906,8.02322468471667,10.711480124765114,7.754052639035757,6.580639137284949,8.321421586897879,9.920197166099076
22,2.5,2.0,0,0,3,8,1995,47.3266,-122.169,12.560247968016562,0,1.791759469228055,7.7279755421055585,8.748463629942055,7.7279755421055585,0.0,7.714677473800927,8.854522203757432
23,1.5,1.0,0,0,3,7,1985,47.3533,-122.166,12.43996225063003,0,1.0986122886681098,6.976348070447749,9.174091239301061,6.976348070447749,0.0,7.107425474110705,9.034438166984412
24,2.25,2.0,0,0,4,8,1985,47.3739,-122.172,12.703816069256568,0,1.3862943611198906,7.804251383528112,8.77971129020447,7.804251383528112,0.0,7.696667081526462,8.834336974017637
25,2.0,1.5,0,0,5,6,1941,47.3048,-122.218,12.358798024384122,0,1.3862943611198906,7.444833273892193,8.454892165218858,7.444833273892193,0.0,6.93828448401696,8.456593569287309
26,1.75,2.0,0,0,3,8,1915,47.6386,-122.36,13.75043962845585,0,1.3862943611198906,7.804251383528112,7.898039690764619,7.467942332285852,6.55250788703459,7.473637108496206,8.181440695719374
27,1.0,1.5,0,0,5,8,1909,47.6221,-122.314,13.410546824147012,0,1.3862943611198906,7.244941546337007,7.366445148327599,7.244941546337007,0.0,7.528869256642251,8.258940462988459
28,1.75,1.0,0,0,3,7,1948,47.695,-122.304,12.989976472461,0,1.3862943611198906,7.327123292259293,8.761080103868347,6.673297967767654,6.594413459749778,7.327123292259293,8.738094230177667
29,2.5,2.0,0,0,3,8,2005,47.7073,-122.11,13.4856180275228,0,1.6094379124341003,7.852050207265889,8.878218658092228,7.852050207265889,0.0,7.875119281040293,8.704004653483045
30,2.5,2.0,0,0,3,8,2003,47.5391,-122.07,13.271646802771485,0,1.3862943611198906,7.749753406274437,8.289288323000317,7.749753406274437,0.0,7.855932199718614,8.289288323000317
31,1.5,3.0,0,0,3,7,2005,47.7274,-122.357,12.54254845357358,0,1.0986122886681098,7.0825485693553,7.143617602704121,7.0825485693553,0.0,7.237778191923443,7.471363088187097
32,1.75,1.5,0,0,4,7,1929,47.6823,-122.368,13.44081856306726,0,1.6094379124341003,7.754052639035757,8.517393171418904,7.32052696227274,6.710523109452428,7.2868764117507,8.517393171418904
33,1.0,1.5,0,0,4,8,1929,47.6889,-122.375,13.190023895035274,0,1.3862943611198906,6.994849985833071,8.006700845440367,6.994849985833071,0.0,7.359467638255621,8.533263371593732
34,2.75,1.0,0,0,3,7,1981,47.4276,-122.157,12.683861515988351,0,1.6094379124341003,7.630946580890459,8.803874763534434,7.155396301896734,6.660575149839686,7.611347717403621,9.073489189226986
35,2.5,1.5,0,0,3,8,1930,47.6827,-122.31,13.453106376097134,1,1.3862943611198906,7.741099090035366,8.026496938945412,7.32052696227274,6.673297967767654,7.372118028337787,8.09101504171053
36,1.0,1.0,0,0,1,5,1933,47.6621,-122.132,13.217675375388819,0,1.6094379124341003,7.415175109613295,10.458779721372386,6.836259277277067,6.594413459749778,7.6783263565068856,9.34731582700326
37,2.0,2.0,0,0,4,8,1904,47.6702,-122.362,13.369225017834633,0,1.6094379124341003,7.766840537085513,8.699681400989514,7.766840537085513,0.0,7.456454555176209,8.45553053102413
38,1.0,1.0,0,0,2,7,1969,47.3341,-122.282,12.388398368982115,0,1.6094379124341003,7.107425474110705,8.996651979432729,6.792344427470809,5.802118375377063,7.1631723908466425,8.962007209588313
39,2.5,2.0,0,0,3,8,1996,47.5301,-122.18,13.312985389904174,0,1.6094379124341003,7.8713112033234065,8.929832503272403,7.8713112033234065,0.0,7.8713112033234065,9.383032379794294
40,2.5,2.0,0,0,3,9,2000,47.6145,-122.027,13.345508528717259,0,1.6094379124341003,7.852050207265889,8.616314282284044,7.852050207265889,0.0,7.81237820598861,8.642944396721798
41,2.25,1.0,0,0,3,8,1984,47.445,-122.347,13.560619598657233,0,1.6094379124341003,8.347827345782498,10.093570577723847,7.8636512654486515,7.390798521735676,7.787796878181171,10.329343350292026
42,2.75,2.0,0,0,3,9,2014,47.6848,-122.016,13.667000108756058,0,1.791759469228055,8.18757739559151,8.637639344492104,8.18757739559151,0.0,8.195885391314796,8.637639344492104
43,1.0,2.0,0,0,3,7,1922,47.6413,-122.364,13.437175577097312,0,1.3862943611198906,7.359467638255621,7.732369222284388,7.359467638255621,0.0,7.365812837209472,7.878912912297133
